user_id,channel,feedback_date,feedback_text,user_role,firm_size,months_subscribed,monthly_queries,avg_session_duration_min,case_types_handled,row_hash,theme,severity,sentiment,cluster_id,is_representative
U14474,feedback_form,2024-07-08,Discovery motion templates need updating for recent rule changes. Still references old federal procedures that were amended in 2023. Causing confusion in federal court filings.,attorney,medium,14,367,15.2,"federal_litigation,complex_litigation",a45c1e762db3d58791b61e34c7a58fd3653beae4fe61afd95aa33bd119a4f364,jurisdiction_coverage,medium,negative,a45c1e762db3d58791b61e34c7a58fd3653beae4fe61afd95aa33bd119a4f364,True
U13550,phone_call,2024-07-10,Damages calculator for future medical expenses needs updating. Doesn't account for medical inflation rates properly and underestimates long-term care costs significantly.,attorney,medium,23,534,19.8,"medical_malpractice,catastrophic_injury",e2ca9e6dae0b47f4b6a87b293842bca5c53441a7b7b2d953d4268ced2fa8846d,calculation_accuracy,high,negative,e2ca9e6dae0b47f4b6a87b293842bca5c53441a7b7b2d953d4268ced2fa8846d,False
U14507,bug_report,2024-07-11,Client portal login system keeps timing out after 15 minutes of inactivity. Clients lose progress on document uploads and have to restart entire process.,case_manager,small,8,156,8.9,"personal_injury,auto_accident",e8832da6daed3e819a7a4f148dba01acce92403327ca39f410fc1ef3c0444a39,client_experience,medium,negative,e8832da6daed3e819a7a4f148dba01acce92403327ca39f410fc1ef3c0444a39,True
U12689,phone_call,2024-07-12,Statute of limitations tracker is buggy for maritime injury cases. It keeps defaulting to standard personal injury timeframes instead of Jones Act provisions.,attorney,medium,16,298,14.1,"maritime_injury,personal_injury",75860b0a43fc8dfe62bc300a831d4c2f6c1e5d451ce15d99b915feff1724d155,jurisdiction_coverage,critical,negative,75860b0a43fc8dfe62bc300a831d4c2f6c1e5d451ce15d99b915feff1724d155,False
U13583,slack,2024-07-13,just used the trial preparation checklist generator - it's comprehensive but missing key items for federal court procedures. seems optimized for state court practice,paralegal,small,5,167,9.6,"federal_litigation,personal_injury",53af3f6ebe3f3b057fe7197e54e7aefaa05fbb8995dedf565af0c74a6b52c859,jurisdiction_coverage,praise,positive,53af3f6ebe3f3b057fe7197e54e7aefaa05fbb8995dedf565af0c74a6b52c859,True
U14540,phone_call,2024-07-14,Comparative negligence calculator for multiple-defendant cases is sophisticated. Properly allocates fault percentages based on evidence and jurisdiction precedents. Very impressive!,attorney,large,30,701,27.8,"premises_liability,product_liability,auto_accident",a478876f7c608eebae546c7703415c09f63acf381e691380ec31bf433bcf748c,calculation_accuracy,praise,positive,a478876f7c608eebae546c7703415c09f63acf381e691380ec31bf433bcf748c,True
U12712,bug_report,2024-07-15,just discovered the batch document processing feature - uploaded 200 medical records and got summaries in 30 minutes. Saves days of time for mass tort cases!,paralegal,small,8,156,9.8,"medical_malpractice,auto_accident",302b382d714249cd842c20505cbbbebeae611b1802b41704ba8df881e94894f3,document_ai_quality,praise,positive,302b382d714249cd842c20505cbbbebeae611b1802b41704ba8df881e94894f3,True
U13616,feedback_form,2024-07-16,Case outcome prediction model is eerily accurate. Tested it on 20 closed cases and it correctly predicted outcomes in 18 cases. The confidence scores help with settlement strategy.,attorney,large,35,789,29.4,"complex_litigation,class_action,mass_tort",07912c72eb9d422d40feba893ebae0c4ec623e09ce66a2d654c6c8f05c279469,scoring_merit,praise,positive,07912c72eb9d422d40feba893ebae0c4ec623e09ce66a2d654c6c8f05c279469,True
U14573,slack,2024-07-17,"medical records timeline is great but needs better filtering options. want to see just surgical interventions or just diagnostic tests, not everything mixed together",paralegal,medium,13,298,11.6,"medical_malpractice,personal_injury",78807d7a550c9bbca5b9f5f157cd0794ca888b86e9da15b76f0d38dd3824dfb8,document_ai_quality,praise,positive,78807d7a550c9bbca5b9f5f157cd0794ca888b86e9da15b76f0d38dd3824dfb8,True
U12745,feedback_form,2024-07-18,"Medical records chronology feature saves brilliant amounts of time. Automatically sorts 400+ pages by date - used to take me two full days, now done in an hour.",attorney,small,11,387,19.2,"premises_liability,animal_attacks",4d1fd86ec4e4f9a487559009194d61b1f290a4612ec1113ae3cb20f7bb027da9,document_ai_quality,praise,positive,4d1fd86ec4e4f9a487559009194d61b1f290a4612ec1113ae3cb20f7bb027da9,True
U13649,phone_call,2024-07-19,"Client communication AI generates empathetic, professional messages but sometimes uses overly complex legal jargon. Clients prefer simpler language explanations.",case_manager,medium,10,289,12.7,"personal_injury,auto_accident",0ef4053d95582f88ea44e76590986c3a4542e972a6d9c185e0369266085f3c1f,client_experience,medium,negative,0ef4053d95582f88ea44e76590986c3a4542e972a6d9c185e0369266085f3c1f,True
U12778,slack,2024-07-20,"Medical record OCR is inaccurate on handwritten nursing notes. Accuracy drops to maybe 60% on cursive text, making transcriptions unreliable.",paralegal,large,21,445,16.7,"mass_tort,product_liability",eaf025673102ab8d0115cc132bce0a1158d05ec960146c12c6e1468b83cb28b4,document_ai_quality,medium,negative,eaf025673102ab8d0115cc132bce0a1158d05ec960146c12c6e1468b83cb28b4,True
U14606,feedback_form,2024-07-20,Automated research memo generation creates well-structured legal analysis but sometimes cites irrelevant cases. Need better relevance scoring in case law matching.,attorney,small,5,234,14.1,"appellate_practice,complex_litigation",eefe8ed15221099f69157473c12460b64051b727bf31967d9a5cd802b220985b,document_ai_quality,medium,negative,eefe8ed15221099f69157473c12460b64051b727bf31967d9a5cd802b220985b,True
U13682,bug_report,2024-07-21,Deposition scheduling integration with court reporting services keeps double-booking. Sync issues between CC calendar and external booking systems.,paralegal,small,9,134,8.5,"auto_accident,slip_and_fall",577d21180a4c1c3b79fa2874482574854814ecedde969a1cd66f2937eb6111ee,integrations_sync,medium,negative,577d21180a4c1c3b79fa2874482574854814ecedde969a1cd66f2937eb6111ee,True
U12801,phone_call,2024-07-22,"Client intake form AI is too aggressive in suggesting case merit. Had three low-value cases flagged as high potential, wasted time on initial research. Need better screening.",case_manager,medium,9,234,11.5,"auto_accident,slip_and_fall",30754f3f0d2e8150fc3d1a055e61214ad5473213d333c88ec588a83712c16019,scoring_merit,medium,negative,30754f3f0d2e8150fc3d1a055e61214ad5473213d333c88ec588a83712c16019,False
U14639,phone_call,2024-07-23,"Insurance policy analysis AI is incredibly thorough. Identifies coverage gaps, exclusions, and potential bad faith issues automatically. Essential for coverage disputes!",attorney,medium,18,456,20.7,"insurance_coverage,bad_faith,personal_injury",48f835a8d097654cc77acd6dc1b5770079641a62b557fbb9f30e9436dc09aa47,strategic_intelligence,praise,positive,48f835a8d097654cc77acd6dc1b5770079641a62b557fbb9f30e9436dc09aa47,True
U13715,feedback_form,2024-07-24,Medical records summarization for psychiatric injury cases is excellent. AI identifies key treatment patterns and medication changes that support mental anguish claims.,attorney,medium,14,398,17.2,"personal_injury,medical_malpractice,auto_accident",73d73c560beaad7b1bf032703459971449108b1d6c600f80004737e86e4e7d99,document_ai_quality,praise,positive,73d73c560beaad7b1bf032703459971449108b1d6c600f80004737e86e4e7d99,True
