user_id,channel,feedback_date,feedback_text,user_role,firm_size,months_subscribed,monthly_queries,avg_session_duration_min,case_types_handled
U14474,feedback_form,2024-07-08,Discovery motion templates need updating for recent rule changes. Still references old federal procedures that were amended in 2023. Causing confusion in federal court filings.,attorney,medium,14,367,15.2,"federal_litigation,complex_litigation"
U13550,phone_call,2024-07-10,Damages calculator for future medical expenses needs updating. Doesn't account for medical inflation rates properly and underestimates long-term care costs significantly.,attorney,medium,23,534,19.8,"medical_malpractice,catastrophic_injury"
U14507,bug_report,2024-07-11,Client portal login system keeps timing out after 15 minutes of inactivity. Clients lose progress on document uploads and have to restart entire process.,case_manager,small,8,156,8.9,"personal_injury,auto_accident"
U12689,phone_call,2024-07-12,Statute of limitations tracker is buggy for maritime injury cases. It keeps defaulting to standard personal injury timeframes instead of Jones Act provisions.,attorney,medium,16,298,14.1,"maritime_injury,personal_injury"
U13583,slack,2024-07-13,just used the trial preparation checklist generator - it's comprehensive but missing key items for federal court procedures. seems optimized for state court practice,paralegal,small,5,167,9.6,"federal_litigation,personal_injury"
U14540,phone_call,2024-07-14,Comparative negligence calculator for multiple-defendant cases is sophisticated. Properly allocates fault percentages based on evidence and jurisdiction precedents. Very impressive!,attorney,large,30,701,27.8,"premises_liability,product_liability,auto_accident"
U12712,bug_report,2024-07-15,just discovered the batch document processing feature - uploaded 200 medical records and got summaries in 30 minutes. Saves days of time for mass tort cases!,paralegal,small,8,156,9.8,"medical_malpractice,auto_accident"
U13616,feedback_form,2024-07-16,Case outcome prediction model is eerily accurate. Tested it on 20 closed cases and it correctly predicted outcomes in 18 cases. The confidence scores help with settlement strategy.,attorney,large,35,789,29.4,"complex_litigation,class_action,mass_tort"
U14573,slack,2024-07-17,"medical records timeline is great but needs better filtering options. want to see just surgical interventions or just diagnostic tests, not everything mixed together",paralegal,medium,13,298,11.6,"medical_malpractice,personal_injury"
U12745,feedback_form,2024-07-18,"Medical records chronology feature saves brilliant amounts of time. Automatically sorts 400+ pages by date - used to take me two full days, now done in an hour.",attorney,small,11,387,19.2,"premises_liability,animal_attacks"
U13649,phone_call,2024-07-19,"Client communication AI generates empathetic, professional messages but sometimes uses overly complex legal jargon. Clients prefer simpler language explanations.",case_manager,medium,10,289,12.7,"personal_injury,auto_accident"
U12778,slack,2024-07-20,"Medical record OCR is inaccurate on handwritten nursing notes. Accuracy drops to maybe 60% on cursive text, making transcriptions unreliable.",paralegal,large,21,445,16.7,"mass_tort,product_liability"
U14606,feedback_form,2024-07-20,Automated research memo generation creates well-structured legal analysis but sometimes cites irrelevant cases. Need better relevance scoring in case law matching.,attorney,small,5,234,14.1,"appellate_practice,complex_litigation"
U13682,bug_report,2024-07-21,Deposition scheduling integration with court reporting services keeps double-booking. Sync issues between CC calendar and external booking systems.,paralegal,small,9,134,8.5,"auto_accident,slip_and_fall"
U12801,phone_call,2024-07-22,"Client intake form AI is too aggressive in suggesting case merit. Had three low-value cases flagged as high potential, wasted time on initial research. Need better screening.",case_manager,medium,9,234,11.5,"auto_accident,slip_and_fall"
U14639,phone_call,2024-07-23,"Insurance policy analysis AI is incredibly thorough. Identifies coverage gaps, exclusions, and potential bad faith issues automatically. Essential for coverage disputes!",attorney,medium,18,456,20.7,"insurance_coverage,bad_faith,personal_injury"
U13715,feedback_form,2024-07-24,Medical records summarization for psychiatric injury cases is excellent. AI identifies key treatment patterns and medication changes that support mental anguish claims.,attorney,medium,14,398,17.2,"personal_injury,medical_malpractice,auto_accident"
U12834,feedback_form,2024-07-25,"Document privilege review AI occasionally makes incorrect classifications, flagging attorney-client communications as discoverable. These inaccuracies are dangerous.",attorney,large,33,678,24.8,"class_action,mass_tort,complex_litigation"
U14672,bug_report,2024-07-25,Witness contact management system duplicates entries when importing from external databases. Created 47 duplicate contacts for the same expert witness.,paralegal,large,22,545,17.3,"mass_tort,class_action"
U13748,slack,2024-07-26,discovery compliance tracker is a lifesaver for complex cases. automatically monitors deadlines and flags potential sanctions risks. saved us from a major screw-up last week,paralegal,large,24,578,20.1,"class_action,complex_litigation"
U12867,bug_report,2024-07-27,Client portal integration saves huge time on status updates. Clients can track case progress automatically without calling the office - saves hours of phone time weekly.,attorney,small,5,189,12.3,"personal_injury,premises_liability"
U13781,phone_call,2024-07-28,Settlement authority calculator helps determine realistic ranges but doesn't factor in client's emotional attachment to certain outcomes. Need more nuanced psychological modeling.,attorney,small,6,245,13.9,"wrongful_death,personal_injury"
U14705,feedback_form,2024-07-28,Settlement conference preparation tool generates excellent talking points and identifies key pressure points for negotiations. Helped achieve 40% higher settlement!,attorney,small,10,323,18.2,"auto_accident,premises_liability"
U12890,phone_call,2024-07-29,Opposing counsel database is fantastic. Cross-referenced their settlement patterns and found they typically settle 30% higher in Q4. Using this intel in negotiations now!,attorney,medium,17,512,21.6,"auto_accident,medical_malpractice,product_liability"
U14738,slack,2024-07-30,case expense tracking is useful but needs integration with accounting software. manually entering expenses defeats the automation purpose,case_manager,medium,9,267,12.8,"personal_injury,workers_comp"
U13814,feedback_form,2024-07-31,Automated citation checking for legal briefs is fantastic. Catches outdated case law and suggests more recent precedents. Makes brief writing much more reliable.,attorney,medium,17,456,21.3,"appellate_practice,complex_litigation"
U12923,slack,2024-08-01,Automated citation checking for legal briefs saves so much time. Catches outdated case law instantly instead of spending hours manually verifying every citation.,attorney,small,7,298,15.9,"medical_malpractice,wrongful_death"
U14771,phone_call,2024-08-01,Trial timeline generator creates comprehensive schedules but doesn't account for court holidays and local practice variations. Need jurisdiction-specific calendar integration.,paralegal,small,6,145,8.1,"personal_injury,slip_and_fall"
U13847,bug_report,2024-08-02,Case value benchmarking tool crashes when analyzing cases with multiple defendants. Error occurs during liability apportionment calculations.,paralegal,large,21,523,16.8,"product_liability,premises_liability"
U12956,feedback_form,2024-08-03,Case merit scoring system is completely inaccurate - rating obvious losers as 7/10 and solid cases as 4/10. The algorithm seems backwards and incorrect.,case_manager,large,25,567,18.3,multi_case_types
U14804,feedback_form,2024-08-03,Medical expense projection tool accurately forecasts future treatment costs based on injury severity and treatment patterns. Essential for life care planning!,attorney,large,33,712,28.6,"catastrophic_injury,medical_malpractice,wrongful_death"
U13880,phone_call,2024-08-04,Jury selection bias analysis is groundbreaking. AI identifies subtle patterns in juror responses that predict verdict tendencies. This is the future of trial practice!,attorney,medium,19,467,24.6,"medical_malpractice,product_liability,personal_injury"
U12989,phone_call,2024-08-05,Automated court filing integration with state systems is buggy. Filed a motion in wrong format twice because CC didn't update for new local rules. Very embarrassing.,attorney,medium,12,334,13.7,"personal_injury,premises_liability"
U14837,bug_report,2024-08-05,Settlement demand calculator produces different results when same information entered in different order. Seems like calculation logic has ordering dependencies.,attorney,medium,17,423,16.9,"personal_injury,auto_accident"
U13913,slack,2024-08-06,medical record OCR works great on typed reports but struggles with handwritten nursing notes. accuracy drops to maybe 60% on cursive text,paralegal,small,3,89,6.4,"medical_malpractice,nursing_home"
U13022,bug_report,2024-08-07,Calendar sync with Outlook keeps duplicating deposition appointments. Shows same depo at 2pm and 3pm. Causing scheduling conflicts with clients.,paralegal,medium,14,267,10.4,"auto_accident,workers_comp"
U14870,phone_call,2024-08-07,Jury questionnaire generator creates targeted questions based on case type and venue statistics. Helped identify biased jurors during voir dire process.,attorney,small,7,289,15.8,"medical_malpractice,product_liability"
U13946,feedback_form,2024-08-08,Client intake chatbot pre-screens cases effectively. Filters out obviously non-viable claims and collects good initial information. Saves paralegal time on initial consultations.,case_manager,medium,12,334,11.9,"personal_injury,auto_accident,slip_and_fall"
U13055,feedback_form,2024-08-09,Case summary generator creates reports with incorrect medical terminology. Confuses 'cervical' with 'cerebral' and other terms. These inaccuracies are dangerous for client communications.,attorney,large,29,623,26.1,"medical_malpractice,wrongful_death,personal_injury"
U14903,slack,2024-08-09,"document production organizer works well for small cases but becomes unwieldy with 10,000+ documents. need better folder structure and search capabilities",paralegal,large,24,634,19.5,"mass_tort,complex_litigation"
U13979,phone_call,2024-08-10,Mediation brief generator creates well-structured documents but needs better customization for different mediator styles. Some prefer more aggressive positioning than others.,attorney,small,8,267,15.4,"auto_accident,premises_liability"
U14936,feedback_form,2024-08-11,Client satisfaction survey automation helps track service quality and identifies areas for improvement. Data-driven approach to client relationship management.,case_manager,medium,15,398,13.4,"personal_injury,auto_accident,premises_liability"
U13088,slack,2024-08-11,Client intake chatbot saves significant paralegal time on initial consultations. Pre-screens cases and collects information automatically - saves 2-3 hours per intake.,paralegal,small,6,123,8.2,"workers_comp,employment_law"
U14012,bug_report,2024-08-12,Time tracking integration with billing software keeps losing entries. Logged 8.5 hours on case analysis but only 6.2 hours transferred to billing system.,paralegal,medium,15,398,13.6,"personal_injury,workers_comp"
U13121,phone_call,2024-08-13,"Client portal integration is excellent. Clients can now track case progress, view documents, and get AI-generated status updates without calling the office. Huge efficiency gain!",case_manager,medium,18,445,17.8,"auto_accident,premises_liability,personal_injury"
U14969,phone_call,2024-08-13,Damages summary generator for closing arguments creates compelling narratives but needs more emotional language options. Current templates are too clinical for jury impact.,attorney,small,11,356,17.6,"personal_injury,wrongful_death"
U13154,feedback_form,2024-08-14,Trial exhibit organization AI saves weeks of preparation time. Creates logical presentation sequences automatically instead of manual organization that used to take forever.,attorney,small,13,398,20.4,"slip_and_fall,auto_accident"
U14045,feedback_form,2024-08-15,"Opposing counsel research tool is incredibly thorough. Provides win/loss records, average settlements, typical strategies, and even personality assessments. Game-changing intelligence!",attorney,large,28,656,25.7,"complex_litigation,class_action"
U15002,bug_report,2024-08-15,Case status dashboard shows incorrect progress percentages. Discovery shows 100% complete but we haven't received all defendant responses yet.,case_manager,medium,19,467,14.8,"complex_litigation,personal_injury"
U12001,phone_call,2024-08-15,Love the new case timeline feature! It automatically organizes all the key dates and saves me hours of manual chronology work. Huge time saver for our team.,attorney,small,6,245,12.3,"slip_and_fall,auto_accident"
U13187,bug_report,2024-08-16,"Medical bill review AI is inaccurate, flagging legitimate charges as potentially fraudulent. Too many incorrect false positives requiring manual review.",paralegal,large,20,556,15.9,"product_liability,class_action"
U15035,feedback_form,2024-08-17,Automated fee agreement generation creates compliant documents for different states. Ensures proper disclosures and terms based on jurisdiction requirements.,attorney,large,29,656,23.1,"multi_state_practice,personal_injury"
U12034,bug_report,2024-08-17,Document upload feature crashes when trying to upload medical records larger than 50MB. Error code: CC-DOC-500. This happens consistently on Chrome browser.,paralegal,medium,14,189,8.7,"medical_malpractice,product_liability"
U14078,slack,2024-08-17,"case similarity search is hit or miss. sometimes finds perfect matches, other times suggests totally unrelated cases. algorithm needs refinement for injury type matching",attorney,medium,7,234,12.1,"personal_injury,auto_accident"
U13220,phone_call,2024-08-18,Jury consultant AI recommendations are spot-on. Suggested voir dire questions I never would have thought of that revealed key biases. Won a tough liability case because of it.,attorney,medium,22,478,23.7,"product_liability,medical_malpractice"
U12089,feedback_form,2024-08-19,"Called support because the AI keeps giving inaccurate damage calculations for slip and fall cases. Sometimes it says $50K, other times $120K for similar injuries. Very frustrating when preparing client presentations.",case_manager,large,22,567,18.4,"workers_comp,auto_accident,premises_liability"
U14111,phone_call,2024-08-19,Statute of limitations monitoring for mass tort cases is essential. Tracks thousands of individual claim deadlines automatically. Prevents costly missed filings in MDL proceedings.,case_manager,large,32,723,26.8,"mass_tort,class_action,product_liability"
U15068,slack,2024-08-19,settlement authority matrix helps determine negotiation ranges but doesn't factor in client financial desperation. some clients will take anything to pay medical bills,paralegal,small,3,98,6.7,"personal_injury,medical_collections"
U12156,slack,2024-08-20,hey team - anyone else notice that Case Companion is way slower this week? takes forever to load case summaries. might be a server issue?,attorney,medium,8,334,15.2,"personal_injury,wrongful_death"
U14144,feedback_form,2024-08-21,Document privilege review AI is highly accurate but occasionally flags attorney-client communications as discoverable. Need more conservative settings for privilege protection.,paralegal,medium,18,445,14.7,"complex_litigation,corporate_defense"
U15101,phone_call,2024-08-21,Expert witness preparation AI generates excellent examination outlines and identifies potential weak points in expert testimony. Trial prep time reduced by 60%!,attorney,medium,16,445,21.9,"medical_malpractice,product_liability,complex_litigation"
U13253,slack,2024-08-21,Lien resolution tracker saves tons of time on Medicare and insurance liens. Automatically calculates reductions - saves hours of manual paperwork per settlement.,attorney,small,4,234,11.8,"auto_accident,personal_injury"
U12203,phone_call,2024-08-22,The deposition summary feature saves incredible amounts of time. Fed it a 300-page deposition and got a perfect 5-page summary in minutes instead of spending days reviewing.,attorney,small,3,456,22.1,"auto_accident,slip_and_fall"
U12234,feedback_form,2024-08-23,Settlement calculation is completely inaccurate for wrongful death cases. It's not factoring in lost future earnings correctly for younger victims. Please review the algorithm.,attorney,large,18,234,13.6,"wrongful_death,medical_malpractice"
U15134,feedback_form,2024-08-23,Case archival system needs better search functionality. Can't find closed cases from 2+ years ago without knowing exact case numbers. Very frustrating for reference research.,case_manager,large,31,578,20.3,"long_term_practice,reference_research"
U14177,bug_report,2024-08-23,Settlement tracking dashboard won't update when payments are received in installments. Shows settlement as pending even after partial payments processed.,case_manager,small,11,298,10.3,"personal_injury,auto_accident"
U13286,feedback_form,2024-08-24,Damages calculator gives inaccurate projections for future medical expenses. Doesn't account for medical inflation rates properly and produces incorrect underestimates.,case_manager,large,31,734,22.9,multi_case_types
U14210,phone_call,2024-08-25,Trial exhibit organization AI creates logical presentation sequences and identifies key documents for emphasis. Streamlined our trial prep by weeks. Excellent tool!,attorney,medium,16,423,19.9,"medical_malpractice,product_liability"
U15167,bug_report,2024-08-25,Medical bill review AI flags legitimate charges as potentially fraudulent. Too many false positives requiring manual review defeats the efficiency purpose.,paralegal,medium,14,334,12.2,"personal_injury,medical_billing_review"
U12267,bug_report,2024-08-25,Integration with LexisNexis saves hours every week. Being able to pull case law directly into my research without switching platforms is a massive time saver.,paralegal,small,4,67,6.2,slip_and_fall
U12298,phone_call,2024-08-26,Integration with LexisNexis is fantastic. Being able to pull case law directly into my research without switching platforms saves hours every week. Great work!,attorney,medium,12,398,19.7,"product_liability,medical_malpractice,auto_accident"
U13319,phone_call,2024-08-27,Medical illustration generator for injury explanations is incredible. AI creates accurate anatomical diagrams showing injury mechanisms. Juries understand complex injuries much better now.,attorney,medium,15,423,18.6,"medical_malpractice,personal_injury,auto_accident"
U12321,slack,2024-08-27,Client communication templates save so much time and ensure consistent messaging. What used to take 30 minutes per client update now takes 5 minutes.,attorney,small,9,276,16.8,"premises_liability,slip_and_fall"
U15200,phone_call,2024-08-27,Client communication scheduler sends perfectly timed updates at key case milestones. Clients feel informed and engaged throughout the process. Excellent relationship management!,case_manager,small,8,234,11.7,"personal_injury,client_relations"
U12356,feedback_form,2024-08-28,Would love to see better integration with our case management system (Needles). Currently have to manually export/import data which defeats the efficiency purpose.,case_manager,medium,7,145,9.3,"auto_accident,workers_comp"
U14243,slack,2024-08-28,anyone know how to adjust the sensitivity on the case merit scoring? it's rating obvious losers as 7/10 and solid cases as 4/10. seems backwards,paralegal,small,4,123,7.8,"slip_and_fall,premises_liability"
U15233,slack,2024-08-29,trial exhibit numbering system keeps resetting when new documents added. losing track of exhibit organization is dangerous for trial presentation,paralegal,large,26,612,18.9,"trial_preparation,complex_litigation"
U13352,bug_report,2024-08-29,Expert witness preparation AI saves massive time on trial prep. Generates examination outlines automatically - our trial prep time reduced by 60% and saves days of work!,paralegal,small,7,145,7.9,"product_liability,auto_accident"
U12389,phone_call,2024-08-30,"Client intake form AI gives inaccurate case merit assessments. Had three low-value cases flagged as high potential, wasted time on initial research. Need better screening.",attorney,large,24,623,25.4,"product_liability,medical_malpractice,class_action"
